#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                                           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----                                 -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ViPhOG8852.faa       -            491 NODE_32_length_5441_cov_927.018381_11_H_1_circular_1 -            301   3.4e-81  274.2   0.5   1   2   1.1e-49   3.5e-45  155.5   0.1     3   193     8   181     6   187 0.93 -
ViPhOG8852.faa       -            491 NODE_32_length_5441_cov_927.018381_11_H_1_circular_1 -            301   3.4e-81  274.2   0.5   2   2   2.5e-38   7.9e-34  118.0   0.1   248   366   186   300   177   301 0.95 -
ViPhOG8850.faa       -             24 NODE_32_length_5441_cov_927.018381_11_H_1_circular_2 -             39   2.7e-14   53.7   9.6   1   1     1e-18   3.2e-14   53.4   9.6     1    24     2    38     2    38 0.99 -
ViPhOG8848.faa       -            133 NODE_32_length_5441_cov_927.018381_11_H_1_circular_3 -            153     7e-69  230.6   0.2   1   1   2.6e-73   8.1e-69  230.4   0.2     1   133    14   146    14   146 0.99 -
ViPhOG8847.faa       -             81 NODE_32_length_5441_cov_927.018381_11_H_1_circular_4 -             87   9.1e-44  148.2   0.4   1   1   3.2e-48     1e-43  148.1   0.4     1    77     2    80     2    84 0.95 -
ViPhOG8845.faa       -            418 NODE_32_length_5441_cov_927.018381_11_H_1_circular_5 -            514  3.4e-216  718.6   0.3   1   1  5.1e-220    4e-216  718.3   0.3     2   418    93   513    92   513 1.00 -
ViPhOG8857.faa       -             74 NODE_32_length_5441_cov_927.018381_11_H_1_circular_5 -            514   1.6e-54  182.5   0.2   1   1   4.6e-58   3.6e-54  181.4   0.2     1    74     1    74     1    74 1.00 -
ViPhOG12699.faa      -            374 NODE_32_length_5441_cov_927.018381_11_H_1_circular_5 -            514   1.8e-09   38.0   0.2   1   1   8.8e-13   6.9e-09   36.1   0.2   136   265   191   359   172   405 0.70 -
ViPhOG8855.faa       -             64 NODE_32_length_5441_cov_927.018381_11_H_1_circular_5 -            514   0.00012   22.9   0.0   1   1   3.3e-08   0.00026   21.7   0.0     3    38    41    75    39    81 0.87 -
ViPhOG8854.faa       -            325 NODE_32_length_5441_cov_927.018381_11_H_1_circular_6 -            329  1.4e-179  597.1  24.4   1   1  5.3e-184  1.6e-179  596.9  24.4     1   324     2   326     2   327 0.99 -
